year,date,cases,births,population,P,B_t
1944,1944-01-07,82,120310,6374980,1.28627854518759e-05,0.0188722160696975
1944,1944-01-14,98,120310,6374980,1.53725972473639e-05,0.0188722160696975
1944,1944-01-21,118,120310,6374980,1.85098619917239e-05,0.0188722160696975
1944,1944-01-28,153,120310,6374980,2.40000752943539e-05,0.0188722160696975
1944,1944-02-04,206,120310,6374980,3.23138268669078e-05,0.0188722160696975
1944,1944-02-11,217,120310,6374980,3.40393224763058e-05,0.0188722160696975
1944,1944-02-18,226,120310,6374980,3.54510916112678e-05,0.0188722160696975
1944,1944-02-25,239,120310,6374980,3.74903136951018e-05,0.0188722160696975
1944,1944-03-03,279,120310,6374980,4.37648431838218e-05,0.0188722160696975
1944,1944-03-10,244,120310,6374980,3.82746298811918e-05,0.0188722160696975
1944,1944-03-17,286,120310,6374980,4.48628858443477e-05,0.0188722160696975
1944,1944-03-24,363,120310,6374980,5.69413551101337e-05,0.0188722160696975
1944,1944-03-31,300,120310,6374980,4.70589711653997e-05,0.0188722160696975
1944,1944-04-07,324,120310,6374980,5.08236888586317e-05,0.0188722160696975
1944,1944-04-14,273,120310,6374980,4.28236637605138e-05,0.0188722160696975
1944,1944-04-21,283,120310,6374980,4.43922961326938e-05,0.0188722160696975
1944,1944-04-28,207,120310,6374980,3.24706901041258e-05,0.0188722160696975
1944,1944-05-05,213,120310,6374980,3.34118695274338e-05,0.0188722160696975
1944,1944-05-12,210,120310,6374980,3.29412798157798e-05,0.0188722160696975
1944,1944-05-19,213,120310,6374980,3.34118695274338e-05,0.0188722160696975
1944,1944-05-26,217,120310,6374980,3.40393224763058e-05,0.0188722160696975
1944,1944-06-02,271,120310,6374980,4.25099372860778e-05,0.0188722160696975
1944,1944-06-09,242,120310,6374980,3.79609034067558e-05,0.0188722160696975
1944,1944-06-16,199,120310,6374980,3.12157842063818e-05,0.0188722160696975
1944,1944-06-23,139,120310,6374980,2.18039899733019e-05,0.0188722160696975
1944,1944-06-30,129,120310,6374980,2.02353576011219e-05,0.0188722160696975
1944,1944-07-07,130,120310,6374980,2.03922208383399e-05,0.0188722160696975
1944,1944-07-14,130,120310,6374980,2.03922208383399e-05,0.0188722160696975
1944,1944-07-21,90,120310,6374980,1.41176913496199e-05,0.0188722160696975
1944,1944-07-28,73,120310,6374980,1.14510163169139e-05,0.0188722160696975
1944,1944-08-04,47,120310,6374980,7.37257214924596e-06,0.0188722160696975
1944,1944-08-11,36,120310,6374980,5.64707653984797e-06,0.0188722160696975
1944,1944-08-18,39,120310,6374980,6.11766625150197e-06,0.0188722160696975
1944,1944-08-25,21,120310,6374980,3.29412798157798e-06,0.0188722160696975
1944,1944-09-01,27,120310,6374980,4.23530740488598e-06,0.0188722160696975
1944,1944-09-08,14,120310,6374980,2.19608532105199e-06,0.0188722160696975
1944,1944-09-15,29,120310,6374980,4.54903387932198e-06,0.0188722160696975
1944,1944-09-22,19,120310,6374980,2.98040150714198e-06,0.0188722160696975
1944,1944-09-29,27,120310,6374980,4.23530740488598e-06,0.0188722160696975
1944,1944-10-06,38,120310,6374980,5.96080301428397e-06,0.0188722160696975
1944,1944-10-13,28,120310,6374980,4.39217064210398e-06,0.0188722160696975
1944,1944-10-20,54,120310,6374980,8.47061480977195e-06,0.0188722160696975
