Year,Births,Pop,Vax
1893,128368.4211,4449039.636,0
1894,128368.4211,4449039.636,0
1895,128368.4211,4449039.636,0
1896,128368.4211,4449039.636,0
1897,130927.4575,4449039.636,0
1898,132407,4540195,0
1899,133574,4540139.571,0
1900,131872,4570851,0
1901,131135,4831341.143,0
1902,128961,4520448,0
1903,129579,4468702,0
1904,125953,4377090,0
1905,122778,4402303,0
1906,117559,4338573,0
1907,122213,4536429,0
1908,121622,4536429,0
1909,114487,4536267,0
1910,116450,4536267,0
1911,110549,4521301,0
1912,111915,4546650.909,0
1913,111474,4519185.636,0
1914,110938,4518098.273,0
1915,103700,4516996.273,0
1916,101597,4516612,0
1917,83466,4303426.091,0
1918,72736,4179981.727,0
1919,81979,4177541,0
1920,122540,4358309,0
1921,102218,4531971,0
1922,94782,4514405,0
1923,91662,4534230,0
1924,85147,4564109,0
1925,82401,4576505,0
1926,78825,4602000,0
1927,73263,4605400,0
1928,72352,4541000,0
1929,70090,4458200,0
1930,69449,4417900,0
1931,65684,4374300,0
1932,67371,4230200,0
1933,62608,4230200,0
1934,56853,4230200,0
1935,63145,4230200,0
1936,64540,4185200,0
1937,55011,4185200,0
1938,64325,4141100,0
1939,52366,4013400,0
1940,46213,3084100,0
1941,33380,2320100,0
1942,40806,2405000,0
1943,45032,2500600,0
1944,44851,2462500,0
1945,45840,2601370,0
1946,66023,3109240,0
1947,70685,3245000,0
1948,60805,3339100,0
1949,56547,3375470,0
1950,53660,3389620,0
1951,52387,3358000,0
1952,51443,3363000,0
1953,50992,3343000,0
1954,50745,3322000,0
1955,49826,3295000,0
1956,52171,3273000,0
1957,52733,3253880,0
1958,54152,3225000,0
1959,55191,3204000,0
1960,57368,3194480,0
1961,60052,3179980,0
1962,62524,3185770,0
1963,63500,3178870,0
1964,63500,3184600,0
1965,60902,3160380,0
1966,59247,3140800,0
1967,55326,3118630,0
1968,51156,3020410,44612.53741
1969,46733,2981580,24179.01599
1970,43789,2926000,37532.20271
1971,41600,2751380,30594.99241
1972,36980,2700320,28581.28574
1973,33667,2650230,25830.45923
1974,32091,2583400,18772.23758
1975,30300,2553500,16405.87588
1976,29376,2494600,16768.03101
1977,29087,2476200,16040.13532
1978,30412,2446600,16248.67073
1979,32039,2428100,17093.09019
1980,33348,2416100,18001.21548
1981,33213,2381700,18469.10324
1982,33096,2314100,19020.1167
1983,33373,2309700,19017.62127
1984,33792,2315300,21149.12524
1985,34988,2322400,22997.56764
1986,35519,2328200,24392.0848
1987,36444,2318500,24929.28965
1988,37365,2308800,48039.3774
1989,37694,2320100,66795.0711
1990,38605,2337500,51343.74737
1991,38627,2354500,NA
1992,38643,2416100,NA
1993,38643,2416100,NA
1994,38643,2416100,NA
