time,numPos,numSamp,P
1944-01-07,82,6374980,1.28627854518759e-05
1944-01-14,98,6374980,1.53725972473639e-05
1944-01-21,118,6374980,1.85098619917239e-05
1944-01-28,153,6374980,2.40000752943539e-05
1944-02-04,206,6374980,3.23138268669078e-05
1944-02-11,217,6374980,3.40393224763058e-05
1944-02-18,226,6374980,3.54510916112678e-05
1944-02-25,239,6374980,3.74903136951018e-05
1944-03-03,279,6374980,4.37648431838218e-05
1944-03-10,244,6374980,3.82746298811918e-05
1944-03-17,286,6374980,4.48628858443477e-05
1944-03-24,363,6374980,5.69413551101337e-05
1944-03-31,300,6374980,4.70589711653997e-05
1944-04-07,324,6374980,5.08236888586317e-05
1944-04-14,273,6374980,4.28236637605138e-05
1944-04-21,283,6374980,4.43922961326938e-05
1944-04-28,207,6374980,3.24706901041258e-05
1944-05-05,213,6374980,3.34118695274338e-05
1944-05-12,210,6374980,3.29412798157798e-05
1944-05-19,213,6374980,3.34118695274338e-05
1944-05-26,217,6374980,3.40393224763058e-05
1944-06-02,271,6374980,4.25099372860778e-05
1944-06-09,242,6374980,3.79609034067558e-05
1944-06-16,199,6374980,3.12157842063818e-05
1944-06-23,139,6374980,2.18039899733019e-05
1944-06-30,129,6374980,2.02353576011219e-05
1944-07-07,130,6374980,2.03922208383399e-05
1944-07-14,130,6374980,2.03922208383399e-05
1944-07-21,90,6374980,1.41176913496199e-05
1944-07-28,73,6374980,1.14510163169139e-05
1944-08-04,47,6374980,7.37257214924596e-06
1944-08-11,36,6374980,5.64707653984797e-06
1944-08-18,39,6374980,6.11766625150197e-06
1944-08-25,21,6374980,3.29412798157798e-06
1944-09-01,27,6374980,4.23530740488598e-06
1944-09-08,14,6374980,2.19608532105199e-06
1944-09-15,29,6374980,4.54903387932198e-06
1944-09-22,19,6374980,2.98040150714198e-06
1944-09-29,27,6374980,4.23530740488598e-06
1944-10-06,38,6374980,5.96080301428397e-06
1944-10-13,28,6374980,4.39217064210398e-06
1944-10-20,54,6374980,8.47061480977195e-06
1944-10-27,65,6374980,1.01961104191699e-05
1944-11-03,80,6374980,1.25490589774399e-05
1944-11-10,57,6374980,8.94120452142595e-06
1944-11-17,65,6374980,1.01961104191699e-05
1944-11-24,110,6374980,1.72549560939799e-05
1944-12-01,84,6374980,1.31765119263119e-05
1944-12-08,123,6374980,1.92941781778139e-05
1944-12-15,114,6374980,1.78824090428519e-05
1944-12-22,163,6374980,2.55687076665339e-05
1944-12-31,155,6374980,2.43138017687899e-05
1945-01-07,240,6651040,3.60845822608194e-05
1945-01-14,210,6651040,3.15740094782169e-05
1945-01-21,290,6651040,4.36022035651567e-05
1945-01-28,381,6651040,5.72842743390507e-05
1945-02-04,573,6651040,8.61519401477062e-05
1945-02-11,814,6651040,0.000122386874834612
